"AREA_NAME","latitude","longitude","name"
"Jacksonville, FL",30.332187920904,-81.655649188005,"Jacksonville, FL"
"Kansas City, MO",39.099729093647,-94.578564421019,"Kansas City, MO"
"Las Vegas, NV",36.114649164785,-115.17281370433,"Las Vegas-, NV"
"Lexington, KY",38.040584186061,-84.503714595492,"Lexington, KY"
"Lincoln, NE",40.806866456502,-96.681678867896,"Lincoln, NE"
"Los Angeles, CA",34.052235709476,-118.24368107851,"Los Angeles, CA"
"Madison, WI",43.073052798226,-89.401228798642,"Madison, WI"
"Memphis, TN",35.149535089741,-90.048975271816,"Memphis, TN"
"Miami, FL",25.788972693386,-80.226436766465,"Miami, FL"
"Milwaukee, WI",43.038903655893,-87.906469811762,"Milwaukee, WI"
"Minneapolis-St. Paul, MN",44.98333648732,-93.26666892096,"Minneapolis, MN"
"Modesto, CA",37.639098960849,-120.9968734923,"Modesto, CA"
"Montgomery, AL",32.366805298231,-86.299966754947,"Montgomery, AL"
"Nashville, TN",36.166668936081,-86.783331014996,"Nashville, TN"
"New Haven, CT",41.308153317651,-72.928153119563,"New Haven, CT"
"New Orleans, LA",29.951067200208,-90.071528558089,"New Orleans, LA"
"New York, NY",40.714357367642,-74.005970267933,"New York, NY"
"Oakland, CA",37.80436402756,-122.2711087125,"Oakland, CA"
"Oklahoma City, OK",35.467562116177,-97.516422707326,"Oklahoma City, OK"
"Omaha, NE",41.25236767516,-95.997983832652,"Omaha, NE"
"Orlando, FL",28.538336572705,-81.37923258642,"Orlando, FL"
"Philadelphia, PA",39.952336565207,-75.163785593465,"Philadelphia, PA"
"Phoenix, AZ",33.448379612628,-112.0740364347,"Phoenix, AZ"
"Pittsburgh, PA",40.440624825005,-79.995884732088,"Pittsburgh, PA"
"Portland, OR",45.523453412428,-122.67620400521,"Portland, OR"
"Raleigh, NC",35.772098997446,-78.63861038419,"Raleigh, NC"
"Reno-Sparks, NV",39.653799516451,-119.70240574979,"Reno-Sparks, NV"
"Richmond, VA",37.540726852502,-77.436044899254,"Richmond, VA"
"Rochester, NY",43.161033801869,-77.610917077659,"Rochester, NY"
"Sacramento, CA",38.581576253864,-121.49439513797,"Sacramento, CA"
"San Antonio, TX",29.424124760062,-98.493626213515,"San Antonio, TX"
"San Bernardino, CA",34.108345064681,-117.28976241712,"San Bernardino, CA"
"San Diego, CA",32.715333470724,-117.15725258071,"San Diego, CA"
"San Francisco, CA",37.774933712555,-122.4194119733,"San Francisco, CA"
"San Jose, CA",37.339390309208,-121.89495218776,"San Jose, CA"
"Santa Barbara, CA",34.420832076277,-119.69818596685,"Santa Barbara, CA"
"Seattle,WA",47.606214398156,-122.33206639322,"Seattle,WA"
"St. Louis, MO",38.627007305456,-90.199400840664,"St. Louis, MO"
"Tampa-St. Petersburg, FL",27.773059891215,-82.639995464565,"Tampa-St. Petersburg, FL"
"Toledo, OH",41.663940439052,-83.555209886034,"Toledo, OH"
"Tucson, AZ",32.221746959647,-110.92647513047,"Tucson, AZ"
"Tulsa, OK",36.153982549976,-95.992773248633,"Tulsa, OK"
"Virginia Beach, VA",36.852928341892,-75.977984454312,"Virginia Beach, VA"
"Washington, DC",38.895113710288,-77.036363032638,"Washington, DC"
"Wichita, KS",37.688892011661,-97.33610952797,"Wichita, KS"
