PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
AL,12220,"Auburn-Opelika, AL",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,610,5.5,13.016,1.29,26.6,"55,320",14.0,8.33,11.16,21.49,30.45,46.64,"17,320","23,210","44,690","63,340","97,020",,
AL,12220,"Auburn-Opelika, AL",27-2022,Coaches and Scouts,,140,8.2,3.024,1.29,0.0,"91,920",23.2,0.0,0.0,0.0,0.0,0.0,"18,620","34,800","57,920","125,140",0,TRUE,
AL,12220,"Auburn-Opelika, AL",27-3041,Editors,,50,22.7,1.045,1.29,31.08,"64,640",14.5,20.24,23.99,28.53,35.73,49.6,"42,090","49,900","59,350","74,320","103,170",,
AL,12220,"Auburn-Opelika, AL",27-1024,Graphic Designers,,40,24.4,0.868,1.29,21.39,"44,490",8.1,13.79,16.69,20.53,24.27,29.56,"28,680","34,710","42,700","50,490","61,480",,
AL,12220,"Auburn-Opelika, AL",27-1026,Merchandise Displayers and Window Trimmers,,80,30.0,1.621,1.29,8.62,"17,930",6.7,7.6,7.94,8.52,9.09,11.32,"15,810","16,520","17,710","18,910","23,550",,
AL,12220,"Auburn-Opelika, AL",27-3031,Public Relations Specialists,,160,5.5,3.484,1.29,25.79,"53,650",2.3,19.04,20.76,23.76,31.23,36.02,"39,610","43,180","49,430","64,960","74,920",,
AL,13820,"Birmingham-Hoover, AL",27-1011,Art Directors,,90,12.0,0.187,1.29,40.27,"83,760",6.8,22.97,26.63,34.7,45.34,66.92,"47,780","55,390","72,180","94,310","139,190",,
AL,13820,"Birmingham-Hoover, AL",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"5,370",9.3,11.285,1.29,18.33,"38,130",5.1,8.13,9.28,15.76,23.44,31.81,"16,910","19,300","32,790","48,740","66,170",,
AL,13820,"Birmingham-Hoover, AL",27-4011,Audio and Video Equipment Technicians,,90,17.3,0.196,1.28,17.86,"37,160",5.5,9.78,10.59,15.5,24.79,32.32,"20,340","22,020","32,250","51,560","67,230",,
AL,13820,"Birmingham-Hoover, AL",27-4012,Broadcast Technicians,,110,33.1,0.237,1.28,17.88,"37,200",5.7,8.41,10.47,14.17,25.39,31.46,"17,500","21,780","29,470","52,800","65,440",,
AL,13820,"Birmingham-Hoover, AL",27-4031,"Camera Operators, Television, Video, and Motion Picture",,30,48.6,0.073,1.28,16.67,"34,670",11.3,9.84,10.58,15.05,21.43,28.9,"20,460","22,000","31,310","44,580","60,110",,
AL,13820,"Birmingham-Hoover, AL",27-2032,Choreographers,,0,0.0,0.0,1.28,8.44,"17,560",4.8,7.67,8.0,8.54,9.09,9.41,"15,950","16,630","17,760","18,900","19,580",,
AL,13820,"Birmingham-Hoover, AL",27-2022,Coaches and Scouts,,940,44.7,1.975,1.28,0.0,"25,330",11.1,0.0,0.0,0.0,0.0,0.0,"15,880","16,760","18,220","21,970","40,680",TRUE,
AL,13820,"Birmingham-Hoover, AL",27-1012,Craft Artists,,60,27.2,0.133,1.29,11.78,"24,510",7.6,8.14,9.18,11.51,13.98,16.59,"16,940","19,100","23,940","29,080","34,510",,
AL,13820,"Birmingham-Hoover, AL",27-3041,Editors,,160,20.9,0.333,1.28,20.38,"42,400",8.2,8.78,13.77,17.93,25.49,31.68,"18,270","28,630","37,300","53,020","65,900",,
AL,13820,"Birmingham-Hoover, AL",27-4032,Film and Video Editors,,110,19.8,0.24,1.28,21.42,"44,560",11.7,9.84,11.96,19.81,30.67,35.92,"20,460","24,870","41,210","63,780","74,710",,
AL,13820,"Birmingham-Hoover, AL",27-1023,Floral Designers,,190,27.3,0.392,1.29,10.12,"21,050",2.5,8.04,8.98,10.16,11.23,12.58,"16,710","18,670","21,130","23,360","26,170",,
AL,13820,"Birmingham-Hoover, AL",27-1024,Graphic Designers,,480,14.4,0.999,1.28,21.96,"45,690",4.0,13.91,16.63,20.6,27.08,32.76,"28,930","34,590","42,840","56,320","68,140",,
AL,13820,"Birmingham-Hoover, AL",27-1025,Interior Designers,,200,33.7,0.414,1.28,19.19,"39,910",6.8,9.77,11.45,19.52,25.77,28.92,"20,330","23,820","40,610","53,590","60,150",,
AL,13820,"Birmingham-Hoover, AL",27-1026,Merchandise Displayers and Window Trimmers,,410,11.8,0.859,1.28,12.7,"26,410",9.0,8.08,9.37,12.36,14.7,18.44,"16,810","19,480","25,720","30,570","38,350",,
AL,13820,"Birmingham-Hoover, AL",27-2041,Music Directors and Composers,,80,28.6,0.161,1.28,24.33,"50,610",4.5,18.7,21.15,24.34,27.29,29.2,"38,890","43,990","50,630","56,770","60,730",,
AL,13820,"Birmingham-Hoover, AL",27-2042,Musicians and Singers,,0,0.0,0.0,1.28,15.25,0,13.3,7.78,8.29,9.15,20.51,22.49,0,0,0,0,0,,TRUE
AL,13820,"Birmingham-Hoover, AL",27-4021,Photographers,,220,15.2,0.46,1.28,13.13,"27,320",6.2,8.19,9.36,12.3,14.92,20.93,"17,030","19,470","25,580","31,030","43,530",,
AL,13820,"Birmingham-Hoover, AL",27-2012,Producers and Directors,,270,13.6,0.564,1.28,26.75,"55,630",5.8,12.57,15.92,22.59,33.39,46.31,"26,150","33,120","46,980","69,460","96,320",,
AL,13820,"Birmingham-Hoover, AL",27-3031,Public Relations Specialists,,800,11.8,1.687,1.28,22.68,"47,180",2.5,13.82,17.0,21.81,26.88,32.45,"28,750","35,360","45,360","55,910","67,490",,
AL,13820,"Birmingham-Hoover, AL",27-3011,Radio and Television Announcers,,240,18.9,0.501,1.28,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,
AL,13820,"Birmingham-Hoover, AL",27-3022,Reporters and Correspondents,,130,32.6,0.274,1.28,18.33,"38,130",8.4,8.3,10.24,15.76,22.54,32.61,"17,270","21,300","32,770","46,880","67,820",,
AL,13820,"Birmingham-Hoover, AL",27-3042,Technical Writers,,120,23.2,0.246,1.28,27.12,"56,400",2.9,18.99,20.67,24.01,34.11,41.74,"39,500","43,000","49,940","70,950","86,810",,
AL,13820,"Birmingham-Hoover, AL",27-3043,Writers and Authors,,90,24.3,0.185,1.28,25.86,"53,790",5.4,15.45,17.37,23.81,31.96,40.76,"32,130","36,130","49,520","66,490","84,780",,
AL,19460,"Decatur, AL",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,300,9.3,5.768,1.28,14.19,"29,520",7.9,7.82,8.51,10.98,18.54,25.21,"16,260","17,700","22,850","38,560","52,440",,
AL,19460,"Decatur, AL",27-1023,Floral Designers,,30,48.9,0.626,1.28,9.37,"19,490",7.4,7.76,8.25,9.07,10.43,11.61,"16,130","17,160","18,870","21,700","24,160",,
AL,19460,"Decatur, AL",27-1026,Merchandise Displayers and Window Trimmers,,60,3.9,1.141,1.28,8.84,"18,400",8.4,7.48,7.82,8.37,8.92,9.31,"15,560","16,250","17,410","18,560","19,370",,
AL,19460,"Decatur, AL",27-3031,Public Relations Specialists,,40,15.6,0.684,1.28,21.58,"44,890",6.8,11.64,16.03,20.06,26.96,29.62,"24,200","33,350","41,720","56,080","61,610",,
AL,20020,"Dothan, AL",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,670,23.4,11.753,1.28,12.62,"26,240",7.4,7.8,8.42,9.6,15.5,21.11,"16,220","17,520","19,960","32,240","43,920",,
AL,20020,"Dothan, AL",27-2022,Coaches and Scouts,,50,25.6,0.903,1.27,0.0,"24,180",3.2,0.0,0.0,0.0,0.0,0.0,"16,110","17,200","19,010","25,540","37,700",TRUE,
AL,20020,"Dothan, AL",27-1024,Graphic Designers,,40,20.6,0.649,1.28,15.77,"32,800",3.3,10.85,13.04,15.63,18.84,21.36,"22,560","27,120","32,510","39,180","44,420",,
AL,20020,"Dothan, AL",27-1026,Merchandise Displayers and Window Trimmers,,0,0.0,0.0,1.27,8.5,"17,690",4.8,7.61,7.95,8.51,9.08,9.5,"15,820","16,530","17,700","18,880","19,750",,
AL,20020,"Dothan, AL",27-3031,Public Relations Specialists,,80,24.2,1.497,1.27,16.75,"34,830",3.4,12.33,13.74,15.94,17.84,22.94,"25,640","28,580","33,160","37,110","47,710",,
AL,20020,"Dothan, AL",27-3011,Radio and Television Announcers,,50,34.5,0.809,1.27,15.12,"31,450",16.4,8.1,9.1,12.35,20.7,25.69,"16,840","18,940","25,680","43,050","53,440",,
AL,20020,"Dothan, AL",27-3022,Reporters and Correspondents,,40,24.2,0.687,1.27,12.92,"26,860",4.7,9.05,10.15,12.0,15.76,18.17,"18,830","21,110","24,970","32,780","37,780",,
AL,22520,"Florence-Muscle Shoals, AL",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,340,13.2,6.656,1.27,16.18,"33,660",5.3,8.1,9.25,14.15,20.37,28.5,"16,850","19,230","29,440","42,360","59,270",,
AL,22520,"Florence-Muscle Shoals, AL",27-2022,Coaches and Scouts,,70,45.9,1.269,1.27,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,TRUE,
AL,22520,"Florence-Muscle Shoals, AL",27-1024,Graphic Designers,,30,35.2,0.667,1.27,17.1,"35,570",11.4,8.7,11.31,14.83,20.29,30.57,"18,110","23,520","30,840","42,200","63,590",,
AL,22520,"Florence-Muscle Shoals, AL",27-4021,Photographers,,30,17.7,0.633,1.27,12.68,"26,370",5.6,7.93,8.82,10.59,15.44,20.3,"16,490","18,350","22,020","32,120","42,220",,
AL,22520,"Florence-Muscle Shoals, AL",27-3031,Public Relations Specialists,,40,17.2,0.824,1.27,20.02,"41,630",4.6,13.86,15.62,17.53,24.75,31.03,"28,840","32,480","36,470","51,470","64,550",,
AL,23460,"Gadsden, AL",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,200,10.5,5.808,1.27,14.5,"30,150",5.4,8.14,9.28,11.91,16.98,27.2,"16,940","19,300","24,760","35,320","56,570",,
AL,26620,"Huntsville, AL",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"2,580",7.4,12.814,1.27,20.34,"42,300",3.7,8.36,10.57,18.17,28.19,35.9,"17,390","21,990","37,790","58,630","74,680",,
AL,26620,"Huntsville, AL",27-4011,Audio and Video Equipment Technicians,,30,18.4,0.157,1.26,20.76,"43,170",8.1,8.37,12.42,21.04,26.94,34.3,"17,410","25,840","43,760","56,040","71,330",,
AL,26620,"Huntsville, AL",27-4012,Broadcast Technicians,,40,15.6,0.206,1.26,23.61,"49,110",21.4,10.11,11.56,25.19,33.2,39.37,"21,030","24,030","52,400","69,060","81,890",,
AL,26620,"Huntsville, AL",27-2032,Choreographers,,0,0.0,0.0,1.27,11.12,"23,130",8.9,8.21,9.35,10.41,11.3,11.84,"17,080","19,450","21,660","23,510","24,620",,
AL,26620,"Huntsville, AL",27-2022,Coaches and Scouts,,270,22.0,1.33,1.27,0.0,"26,430",5.6,0.0,0.0,0.0,0.0,0.0,"16,230","17,400","19,340","32,050","50,920",TRUE,
AL,26620,"Huntsville, AL",27-3041,Editors,,70,34.9,0.357,1.26,23.06,"47,960",8.3,8.94,12.45,22.69,28.89,39.4,"18,600","25,890","47,200","60,100","81,950",,
AL,26620,"Huntsville, AL",27-1023,Floral Designers,,70,13.4,0.363,1.27,10.84,"22,550",6.5,7.85,8.57,10.12,13.01,15.94,"16,330","17,820","21,040","27,060","33,160",,
AL,26620,"Huntsville, AL",27-1024,Graphic Designers,,350,8.8,1.727,1.27,23.59,"49,070",3.1,13.56,16.53,22.52,29.29,35.8,"28,200","34,390","46,840","60,930","74,470",,
AL,26620,"Huntsville, AL",27-1025,Interior Designers,,50,15.2,0.258,1.27,21.34,"44,380",7.0,12.57,15.16,19.6,25.21,33.98,"26,140","31,530","40,770","52,430","70,680",,
AL,26620,"Huntsville, AL",27-3091,Interpreters and Translators,,30,37.3,0.162,1.26,14.37,"29,890",9.5,8.77,10.16,12.74,17.56,23.07,"18,240","21,130","26,500","36,530","47,980",,
AL,26620,"Huntsville, AL",27-1026,Merchandise Displayers and Window Trimmers,,0,0.0,0.0,1.27,9.4,"19,560",4.0,7.63,8.04,8.72,9.72,13.48,"15,870","16,730","18,150","20,230","28,040",,
AL,26620,"Huntsville, AL",27-2041,Music Directors and Composers,,40,35.7,0.22,1.26,23.85,"49,610",5.7,19.11,20.73,23.39,27.09,29.34,"39,750","43,110","48,660","56,350","61,030",,
AL,26620,"Huntsville, AL",27-4021,Photographers,,90,22.6,0.44,1.26,12.77,"26,560",3.7,8.02,8.94,11.83,14.48,20.07,"16,690","18,600","24,610","30,120","41,740",,
AL,26620,"Huntsville, AL",27-2012,Producers and Directors,,60,10.1,0.285,1.27,24.35,"50,660",8.5,15.25,16.64,20.53,30.71,41.07,"31,730","34,620","42,710","63,870","85,430",,
AL,26620,"Huntsville, AL",27-3031,Public Relations Specialists,,330,12.9,1.648,1.26,24.48,"50,910",5.7,13.16,16.09,21.57,29.25,42.27,"27,380","33,480","44,860","60,840","87,920",,
AL,26620,"Huntsville, AL",27-3011,Radio and Television Announcers,,80,36.8,0.382,1.26,17.88,"37,200",8.9,8.29,9.53,14.09,21.92,35.2,"17,250","19,830","29,300","45,580","73,220",,
AL,26620,"Huntsville, AL",27-3042,Technical Writers,,370,6.9,1.832,1.26,28.55,"59,380",1.8,19.11,22.66,28.9,34.31,39.38,"39,750","47,140","60,110","71,370","81,920",,
AL,33660,"Mobile, AL",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"1,840",10.2,10.849,1.26,17.17,"35,720",6.0,8.11,9.19,14.12,21.72,28.96,"16,860","19,110","29,370","45,180","60,240",,
AL,33660,"Mobile, AL",27-4011,Audio and Video Equipment Technicians,,0,0.0,0.0,1.26,14.62,"30,420",5.5,9.1,10.75,15.03,17.44,19.9,"18,930","22,360","31,270","36,270","41,400",,
AL,33660,"Mobile, AL",27-2022,Coaches and Scouts,,260,22.7,1.527,1.26,0.0,"36,970",12.0,0.0,0.0,0.0,0.0,0.0,"16,910","19,130","33,600","45,150","56,650",TRUE,
AL,33660,"Mobile, AL",27-3041,Editors,,0,0.0,0.0,1.26,20.89,"43,450",2.3,11.68,13.05,16.41,22.04,48.28,"24,300","27,150","34,140","45,840","100,410",,
AL,33660,"Mobile, AL",27-1023,Floral Designers,,70,13.4,0.421,1.26,10.56,"21,950",6.9,7.86,8.58,10.11,11.87,14.23,"16,340","17,850","21,040","24,680","29,600",,
AL,33660,"Mobile, AL",27-1024,Graphic Designers,,90,12.0,0.555,1.26,17.07,"35,500",4.3,10.15,11.92,15.33,21.86,26.9,"21,100","24,790","31,880","45,470","55,940",,
AL,33660,"Mobile, AL",27-1026,Merchandise Displayers and Window Trimmers,,240,43.9,1.423,1.26,8.8,"18,300",5.3,7.62,7.97,8.57,9.16,11.54,"15,850","16,590","17,820","19,050","24,010",,
AL,33660,"Mobile, AL",27-4021,Photographers,,100,12.6,0.607,1.25,12.43,"25,860",4.7,8.15,9.2,11.05,14.79,18.53,"16,950","19,130","22,990","30,760","38,540",,
AL,33660,"Mobile, AL",27-2012,Producers and Directors,,60,9.6,0.366,1.26,21.64,"45,010",1.5,11.99,14.16,18.65,24.03,39.69,"24,940","29,440","38,780","49,980","82,560",,
AL,33660,"Mobile, AL",27-3031,Public Relations Specialists,,260,9.9,1.502,1.26,21.27,"44,250",4.3,11.95,15.57,20.39,25.77,32.66,"24,860","32,380","42,420","53,590","67,930",,
AL,33660,"Mobile, AL",27-3011,Radio and Television Announcers,,0,0.0,0.0,1.26,9.38,"19,510",7.0,7.6,8.01,8.69,9.56,13.27,"15,800","16,650","18,070","19,880","27,610",,
AL,33660,"Mobile, AL",27-3022,Reporters and Correspondents,,70,49.2,0.39,1.26,15.83,"32,930",8.7,8.51,11.07,14.68,20.13,24.8,"17,710","23,020","30,540","41,870","51,590",,
AL,33660,"Mobile, AL",27-3042,Technical Writers,,40,6.1,0.254,1.26,19.78,"41,140",3.0,14.48,16.1,18.38,23.36,27.65,"30,130","33,480","38,230","48,590","57,510",,
AL,33860,"Montgomery, AL",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"2,400",12.6,15.281,1.25,17.45,"36,300",4.4,8.43,10.21,14.63,22.46,29.33,"17,530","21,240","30,440","46,720","61,010",,
AL,33860,"Montgomery, AL",27-4011,Audio and Video Equipment Technicians,,30,0.0,0.208,1.25,16.02,"33,330",1.7,8.37,9.85,15.78,20.87,26.18,"17,410","20,490","32,820","43,410","54,460",,
AL,33860,"Montgomery, AL",27-4012,Broadcast Technicians,,0,0.0,0.0,1.25,13.88,"28,860",4.8,8.35,9.75,12.3,16.47,21.54,"17,370","20,280","25,580","34,260","44,810",,
AL,33860,"Montgomery, AL",27-4031,"Camera Operators, Television, Video, and Motion Picture",,40,27.2,0.229,1.25,14.91,"31,000",13.4,7.8,8.62,10.36,14.87,36.04,"16,220","17,940","21,550","30,930","74,960",,
AL,33860,"Montgomery, AL",27-2022,Coaches and Scouts,,170,11.7,1.08,1.25,0.0,"37,850",8.4,0.0,0.0,0.0,0.0,0.0,"16,980","19,520","34,240","48,000","63,160",TRUE,
AL,33860,"Montgomery, AL",27-3041,Editors,,110,10.5,0.682,1.25,22.0,"45,760",3.6,13.06,17.64,21.81,26.16,32.62,"27,170","36,690","45,370","54,410","67,860",,
AL,33860,"Montgomery, AL",27-1023,Floral Designers,,80,10.9,0.496,1.25,10.0,"20,800",6.6,7.86,8.55,9.72,11.2,13.32,"16,350","17,780","20,220","23,300","27,710",,
AL,33860,"Montgomery, AL",27-1024,Graphic Designers,,150,14.9,0.948,1.25,19.86,"41,310",3.1,12.61,14.27,18.14,25.12,29.77,"26,230","29,680","37,730","52,250","61,930",,
AL,33860,"Montgomery, AL",27-1025,Interior Designers,,40,30.3,0.278,1.25,22.0,"45,750",13.0,12.84,14.64,17.8,25.2,28.5,"26,700","30,440","37,020","52,420","59,270",,
AL,33860,"Montgomery, AL",27-1026,Merchandise Displayers and Window Trimmers,,0,0.0,0.0,1.25,11.36,"23,620",5.7,7.97,8.87,10.69,13.1,14.69,"16,580","18,440","22,240","27,240","30,550",,
AL,33860,"Montgomery, AL",27-4021,Photographers,,110,19.9,0.703,1.25,14.23,"29,610",8.5,9.39,10.31,12.36,16.06,24.19,"19,520","21,430","25,700","33,410","50,310",,
AL,33860,"Montgomery, AL",27-2012,Producers and Directors,,40,26.9,0.255,1.25,23.4,"48,680",7.0,11.84,15.08,21.36,31.91,39.54,"24,620","31,370","44,430","66,370","82,250",,
AL,33860,"Montgomery, AL",27-3031,Public Relations Specialists,,500,6.3,3.176,1.25,22.88,"47,580",2.4,13.84,18.16,21.7,26.98,34.37,"28,800","37,780","45,130","56,130","71,490",,
AL,33860,"Montgomery, AL",27-3011,Radio and Television Announcers,,80,34.7,0.491,1.25,11.15,"23,200",10.7,7.78,8.32,9.23,11.37,19.61,"16,170","17,310","19,190","23,660","40,780",,
AL,33860,"Montgomery, AL",27-3022,Reporters and Correspondents,,70,14.1,0.457,1.25,15.79,"32,840",5.6,8.88,11.59,14.83,18.95,25.19,"18,460","24,110","30,850","39,410","52,400",,
AL,33860,"Montgomery, AL",27-3043,Writers and Authors,,50,14.6,0.312,1.25,24.38,"50,710",4.6,9.85,11.54,24.39,33.7,43.28,"20,500","24,010","50,720","70,100","90,020",,
AL,46220,"Tuscaloosa, AL",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,870,10.5,9.996,1.25,19.76,"41,100",8.5,8.3,10.16,16.2,22.65,32.37,"17,270","21,130","33,690","47,100","67,330",,
AL,46220,"Tuscaloosa, AL",27-2032,Choreographers,,0,0.0,0.0,1.24,10.94,"22,750",6.3,7.9,8.59,9.93,11.72,17.08,"16,440","17,860","20,650","24,380","35,530",,
AL,46220,"Tuscaloosa, AL",27-2022,Coaches and Scouts,,150,20.7,1.727,1.24,0.0,"71,250",14.9,0.0,0.0,0.0,0.0,0.0,"17,930","27,880","44,990","84,630","179,280",TRUE,
AL,46220,"Tuscaloosa, AL",27-3041,Editors,,100,39.4,1.12,1.24,25.18,"52,380",5.2,15.0,19.01,25.46,31.93,34.89,"31,190","39,530","52,950","66,410","72,580",,
AL,46220,"Tuscaloosa, AL",27-1023,Floral Designers,,40,12.2,0.503,1.25,10.16,"21,130",4.3,7.86,8.53,9.65,11.58,13.58,"16,350","17,740","20,060","24,100","28,250",,
AL,46220,"Tuscaloosa, AL",27-1024,Graphic Designers,,100,22.3,1.126,1.24,16.96,"35,290",4.1,10.61,12.66,17.47,21.24,23.05,"22,070","26,330","36,340","44,170","47,930",,
AL,46220,"Tuscaloosa, AL",27-1026,Merchandise Displayers and Window Trimmers,,60,12.3,0.743,1.24,8.62,"17,930",9.0,7.48,7.81,8.37,8.92,9.27,"15,560","16,250","17,400","18,550","19,290",,
AL,46220,"Tuscaloosa, AL",27-4021,Photographers,,40,16.3,0.422,1.24,15.41,"32,050",13.6,7.94,8.69,12.15,18.55,27.17,"16,520","18,070","25,270","38,580","56,520",,
AL,46220,"Tuscaloosa, AL",27-3031,Public Relations Specialists,,90,13.3,1.066,1.24,20.01,"41,630",2.9,13.5,15.92,18.55,23.21,28.39,"28,070","33,110","38,590","48,270","59,050",,
AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"1,550",7.6,7.862,1.24,20.35,"42,320",6.4,9.67,12.38,16.57,23.56,33.87,"20,110","25,750","34,470","49,000","70,450",,
