Maine,Writers and Authors,,110,34.6,0.183,0.57,27.65,"57,500",6.4,12.07,19.54,28.55,35.62,42.22,"25,100","40,650","59,390","74,100","87,810",,
Maryland,Writers and Authors,,900,9.0,0.365,1.14,35.35,"73,530",6.5,15.60,22.51,32.04,43.94,54.21,"32,440","46,830","66,650","91,400","112,760",,
Massachusetts,Writers and Authors,,960,7.6,0.306,0.96,31.70,"65,940",5.5,16.71,21.96,28.23,35.56,44.95,"34,760","45,670","58,720","73,960","93,490",,
Michigan,Writers and Authors,,760,9.4,0.199,0.63,23.34,"48,550",2.5,10.54,16.19,21.83,29.96,36.83,"21,930","33,670","45,410","62,320","76,610",,
Minnesota,Writers and Authors,,"1,340",9.9,0.517,1.62,25.69,"53,430",3.8,11.29,17.54,24.69,32.90,39.41,"23,490","36,480","51,350","68,420","81,970",,
Mississippi,Writers and Authors,,280,15.9,0.258,0.81,23.57,"49,030",5.6,13.94,16.77,20.72,28.37,36.09,"28,990","34,890","43,090","59,000","75,080",,
Missouri,Writers and Authors,,740,9.9,0.287,0.90,27.66,"57,540",5.7,11.24,16.24,24.17,34.51,45.84,"23,370","33,780","50,270","71,790","95,350",,
Montana,Writers and Authors,,90,17.7,0.218,0.68,17.15,"35,680",3.7,10.07,12.31,14.08,22.81,28.60,"20,940","25,600","29,280","47,450","59,490",,
Nebraska,Writers and Authors,,280,14.9,0.309,0.97,22.93,"47,690",6.6,9.30,15.33,21.93,30.85,36.29,"19,340","31,880","45,610","64,160","75,490",,
Nevada,Writers and Authors,,390,20.4,0.348,1.09,30.31,"63,050",10.1,14.15,18.60,24.32,32.27,43.30,"29,440","38,680","50,590","67,120","90,060",,
New Hampshire,Writers and Authors,,240,11.7,0.397,1.24,24.65,"51,260",3.8,15.31,19.42,23.11,28.49,35.58,"31,850","40,400","48,060","59,270","74,010",,
New Jersey,Writers and Authors,,"1,070",9.7,0.284,0.89,27.63,"57,460",3.9,13.90,17.57,25.64,34.63,42.84,"28,910","36,550","53,320","72,020","89,110",,
New Mexico,Writers and Authors,,160,23.7,0.212,0.66,23.15,"48,150",4.2,15.28,17.94,23.58,27.14,29.18,"31,780","37,320","49,040","56,460","60,700",,
New York,Writers and Authors,,"6,500",6.1,0.771,2.42,41.95,"87,250",3.1,17.50,23.07,34.73,51.23,73.93,"36,410","47,990","72,240","106,570","153,780",,
North Carolina,Writers and Authors,,620,7.8,0.164,0.51,27.23,"56,640",3.3,13.85,18.15,24.00,31.93,43.22,"28,810","37,750","49,910","66,420","89,910",,
North Dakota,Writers and Authors,,110,24.9,0.298,0.94,15.07,"31,340",7.4,9.87,11.46,13.55,16.97,22.85,"20,530","23,840","28,190","35,300","47,530",,
Ohio,Writers and Authors,,"1,050",13.3,0.211,0.66,27.80,"57,830",5.2,13.52,17.66,23.51,34.15,44.38,"28,120","36,740","48,900","71,030","92,310",,
Oklahoma,Writers and Authors,,340,16.1,0.228,0.71,16.98,"35,320",5.6,8.37,10.47,15.01,21.21,29.38,"17,410","21,790","31,220","44,120","61,100",,
Oregon,Writers and Authors,,630,11.0,0.399,1.25,27.10,"56,380",3.8,13.56,19.41,25.34,32.44,40.26,"28,210","40,370","52,710","67,480","83,750",,
Pennsylvania,Writers and Authors,,"1,470",10.3,0.265,0.83,28.73,"59,770",3.0,15.58,20.35,26.46,34.77,45.94,"32,400","42,320","55,030","72,320","95,560",,
Rhode Island,Writers and Authors,,130,14.5,0.281,0.88,29.40,"61,160",3.1,18.66,23.09,29.46,35.29,41.81,"38,820","48,030","61,280","73,400","86,970",,
South Carolina,Writers and Authors,,160,15.4,0.093,0.29,24.62,"51,210",6.9,10.09,15.18,20.69,29.55,41.14,"20,990","31,570","43,040","61,450","85,570",,
South Dakota,Writers and Authors,,40,19.2,0.102,0.32,18.94,"39,400",8.9,12.10,13.24,16.28,21.94,33.02,"25,160","27,540","33,870","45,630","68,680",,
Tennessee,Writers and Authors,,580,21.8,0.222,0.70,18.96,"39,440",9.2,8.33,9.60,14.88,21.81,33.45,"17,330","19,960","30,950","45,360","69,580",,
Texas,Writers and Authors,,"1,970",7.3,0.191,0.60,26.44,"54,990",3.1,11.57,16.48,23.25,33.08,41.94,"24,070","34,270","48,370","68,810","87,230",,
Utah,Writers and Authors,,250,14.8,0.211,0.66,20.34,"42,300",3.3,9.20,13.52,18.01,26.04,33.62,"19,130","28,130","37,460","54,160","69,930",,
Vermont,Writers and Authors,,160,19.9,0.549,1.72,23.44,"48,760",7.5,12.56,14.99,18.10,27.87,36.72,"26,130","31,170","37,650","57,960","76,380",,
Virginia,Writers and Authors,,"1,640",10.6,0.461,1.44,29.99,"62,370",3.2,16.16,20.42,27.39,36.14,47.83,"33,600","42,480","56,970","75,170","99,480",,
Washington,Writers and Authors,,870,6.6,0.321,1.00,33.99,"70,700",6.1,17.37,22.28,31.87,43.57,55.21,"36,130","46,350","66,290","90,640","114,830",,
West Virginia,Writers and Authors,,160,17.2,0.224,0.70,16.81,"34,960",4.8,8.43,11.43,13.82,18.15,36.00,"17,540","23,770","28,750","37,750","74,880",,
Wisconsin,Writers and Authors,,660,10.2,0.250,0.78,24.73,"51,450",2.8,13.15,18.43,22.42,28.46,36.84,"27,360","38,320","46,640","59,210","76,630",,
Wyoming,Writers and Authors,,30,16.4,0.117,0.37,24.56,"51,080",3.7,15.21,17.44,26.17,30.66,33.91,"31,630","36,280","54,440","63,780","70,530",,

